date,actual,forecast,lower_ci,upper_ci
2016-05-13 19:00:00,1250,1211.9006665794486,491.4118480729983,1932.389485085899
2016-05-13 20:00:00,720,1068.1299044179361,302.01410195298536,1834.245706882887
2016-05-13 21:00:00,380,731.5626152782586,-78.1484336798975,1541.2736642364148
2016-05-13 22:00:00,330,559.3624128935331,-267.3955041592325,1386.1203299462986
2016-05-13 23:00:00,370,467.9346156246811,-367.59542576758054,1303.4646570169427
2016-05-14 00:00:00,350,414.96352254402217,-426.3723435655832,1256.2993886536276
2016-05-14 01:00:00,380,382.3304564349404,-462.15205665416136,1226.8129695240423
2016-05-14 02:00:00,360,357.48904222054017,-488.31793341189035,1203.2960178529706
2016-05-14 03:00:00,360,337.72842091537075,-508.6368940036201,1184.0937358343617
2016-05-14 04:00:00,360,328.81813395420113,-517.7827056778569,1175.4189735862592
2016-05-14 05:00:00,340,377.9176441038144,-468.7825740515141,1224.6178622591428
2016-05-14 06:00:00,380,443.38305855004086,-403.359096691453,1290.1252137915346
2016-05-14 07:00:00,680,611.0086248125217,-235.75122845988187,1457.7684780849254
2016-05-14 08:00:00,800,724.7630315627582,-122.00429067598418,1571.5303538015005
2016-05-14 09:00:00,710,637.4938604109011,-209.27661392641585,1484.264334748218
2016-05-14 10:00:00,950,679.4798669426874,-167.2919376671905,1526.2516715525653
2016-05-14 11:00:00,580,740.1523028353424,-106.62006318626663,1586.9246688569515
2016-05-14 12:00:00,700,693.8483457761624,-152.92425717578192,1540.6209487281067
2016-05-14 13:00:00,680,653.6336283812706,-193.13907456253253,1500.4063313250736
2016-05-14 14:00:00,640,639.7227046656428,-207.05004047652756,1486.4954498078132
2016-05-14 15:00:00,780,592.9328110107983,-253.83995191465056,1439.7055739362472
2016-05-14 16:00:00,670,786.0637710998813,-60.708999338629155,1632.8365415383917
2016-05-14 17:00:00,1450,1102.4096484221077,255.63687639705643,1949.182420447159
2016-05-14 18:00:00,1000,1084.7608230220699,237.98804931625398,1931.5335967278857
